Date_reported,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2021-01-01,6588,393641,75,6915
2021-01-02,6928,400569,69,6984
2021-01-03,2961,403530,81,7065
2021-01-04,3244,406774,73,7138
2021-01-05,3753,410527,85,7223
2021-01-06,5229,415756,89,7312
2021-01-07,8982,424738,93,7405
2021-01-08,9114,433852,99,7504
2021-01-09,9463,443315,117,7621
2021-01-10,8866,452181,112,7733
2021-01-11,6662,458843,105,7838
2021-01-12,5225,464068,130,7968
2021-01-13,7683,471751,156,8124
2021-01-14,9888,481639,152,8276
2021-01-15,9967,491606,144,8420
2021-01-16,10190,501796,156,8576
2021-01-17,10508,512304,174,8750
2021-01-18,8754,521058,156,8906
2021-01-19,6026,527084,171,9077
2021-01-20,10705,537789,210,9287
2021-01-21,13709,551498,218,9505
2021-01-22,12871,564369,222,9727
2021-01-23,13425,577794,241,9968
2021-01-24,14591,592385,264,10232
2021-01-25,10328,602713,275,10507
2021-01-26,6388,609101,268,10775
2021-01-27,11436,620537,280,11055
2021-01-28,15251,635788,291,11346
2021-01-29,13978,649766,296,11642
2021-01-30,12737,662503,276,11918
2021-01-31,12002,674505,292,12210
2021-02-01,8399,682904,297,12507
2021-02-02,5530,688434,282,12789
2021-02-03,7108,695542,255,13044
2021-02-04,9074,704616,246,13290
2021-02-05,8397,713013,226,13516
2021-02-06,7231,720244,245,13761
2021-02-07,6660,726904,217,13978
2021-02-08,3486,730390,195,14173
2021-02-09,2587,732977,203,14376
2021-02-10,4006,736983,195,14571
2021-02-11,4770,741753,153,14724
2021-02-12,4335,746088,164,14888
2021-02-13,3374,749462,146,15034
2021-02-14,3259,752721,154,15188
2021-02-15,1814,754535,134,15322
2021-02-16,1362,755897,89,15411
2021-02-17,2327,758224,114,15525
2021-02-18,2916,761140,126,15651
2021-02-19,2347,763487,98,15749
2021-02-20,2311,765798,68,15817
2021-02-21,2148,767946,72,15889
2021-02-22,1183,769129,67,15956
2021-02-23,648,769777,63,16019
2021-02-24,1517,771294,59,16078
2021-02-25,1687,772981,49,16127
2021-02-26,1536,774517,50,16177
2021-02-27,1391,775908,58,16235
2021-02-28,1479,777387,31,16266
2021-03-01,749,778136,42,16308
2021-03-02,452,778588,38,16346
2021-03-03,1198,779786,34,16380
2021-03-04,1453,781239,41,16421
2021-03-05,1354,782593,27,16448
2021-03-06,1576,784169,27,16475
2021-03-07,1600,785769,26,16501
2021-03-08,1098,786867,30,16531
2021-03-09,532,787399,24,16555
2021-03-10,3037,790436,32,16587
2021-03-11,1035,791471,21,16608
2021-03-12,926,792397,18,16626
2021-03-13,883,793280,15,16641
2021-03-14,830,794110,19,16660
2021-03-15,528,794638,11,16671
2021-03-16,282,794920,14,16685
2021-03-17,737,795657,14,16699
2021-03-18,1004,796661,16,16715
2021-03-19,680,797341,19,16734
2021-03-20,794,798135,9,16743
2021-03-21,727,798862,8,16751
2021-03-22,418,799280,9,16760
2021-03-23,290,799570,13,16773
2021-03-24,807,800377,10,16783
2021-03-25,1013,801390,11,16794
2021-03-26,887,802277,9,16803
2021-03-27,764,803041,5,16808
2021-03-28,675,803716,8,16816
2021-03-29,373,804089,12,16828
2021-03-30,344,804433,4,16832
2021-03-31,828,805261,2,16834
2021-04-01,909,806170,3,16837
2021-04-02,847,807017,11,16848
2021-04-03,734,807751,9,16857
2021-04-04,393,808144,7,16864
2021-04-05,359,808503,4,16868
2021-04-06,231,808734,6,16874
2021-04-07,693,809427,2,16876
2021-04-08,775,810202,3,16879
2021-04-09,722,810924,10,16889
2021-04-10,798,811722,5,16894
2021-04-11,754,812476,6,16900
2021-04-12,516,812992,6,16906
2021-04-13,234,813226,2,16908
2021-04-14,738,813964,6,16914
2021-04-15,776,814740,7,16921
2021-04-16,651,815391,2,16923
2021-04-17,672,816063,5,16928
2021-04-18,719,816782,5,16933
2021-04-19,419,817201,1,16934
2021-04-20,241,817442,1,16935
2021-04-21,658,818100,5,16940
2021-04-22,685,818785,1,16941
2021-04-23,727,819512,4,16945
2021-04-24,653,820165,1,16946
2021-04-25,731,820896,3,16949
2021-04-26,440,821336,5,16954
2021-04-27,215,821551,0,16954
2021-04-28,610,822161,5,16959
2021-04-29,733,822894,3,16962
2021-04-30,664,823558,1,16963
2021-05-01,649,824207,0,16963
2021-05-02,600,824807,2,16965
2021-05-03,329,825136,1,16966
2021-05-04,197,825333,1,16967
2021-05-05,713,826046,3,16970
2021-05-06,553,826599,2,16972
2021-05-07,596,827195,5,16977
2021-05-08,557,827752,1,16978
2021-05-09,556,828308,2,16980
2021-05-10,324,828632,1,16981
2021-05-11,194,828826,1,16982
2021-05-12,474,829300,1,16983
2021-05-13,603,829903,4,16987
2021-05-14,595,830498,1,16988
2021-05-15,576,831074,0,16988
2021-05-16,560,831634,9,16997
2021-05-17,318,831952,0,16997
2021-05-18,154,832106,2,16999
2021-05-19,555,832661,1,17000
2021-05-20,547,833208,1,17001
2021-05-21,673,833881,1,17002
2021-05-22,647,834528,3,17005
2021-05-23,650,835178,0,17005
2021-05-24,401,835579,0,17005
2021-05-25,224,835803,1,17006
2021-05-26,505,836308,3,17009
2021-05-27,662,836970,1,17010
2021-05-28,675,837645,0,17010
2021-05-29,680,838325,1,17011
2021-05-30,651,838976,0,17011
2021-05-31,422,839398,0,17011
2021-06-01,353,839751,2,17013
2021-06-02,734,840485,1,17014
2021-06-03,762,841247,1,17015
2021-06-04,904,842151,3,17018
2021-06-05,398,842549,1,17019
2021-06-06,681,843230,2,17021
2021-06-07,537,843767,2,17023
2021-06-08,319,844086,2,17025
2021-06-09,798,844884,1,17026
2021-06-10,879,845763,0,17026
2021-06-11,1017,846780,6,17032
2021-06-12,454,847234,1,17033
2021-06-13,842,848076,0,17033
2021-06-14,625,848701,2,17035
2021-06-15,563,849264,0,17035
2021-06-16,1104,850368,3,17038
2021-06-17,1300,851668,6,17044
2021-06-18,1219,852887,1,17045
2021-06-19,1361,854248,5,17050
2021-06-20,1343,855591,2,17052
2021-06-21,867,856458,2,17054
2021-06-22,687,857145,3,17057
2021-06-23,1254,858399,7,17064
2021-06-24,1553,859952,2,17066
2021-06-25,1608,861560,2,17068
2021-06-26,1601,863161,2,17070
2021-06-27,1627,864788,2,17072
2021-06-28,1279,866067,1,17073
2021-06-29,803,866870,3,17076
2021-06-30,1948,868818,6,17082
2021-07-01,2235,871053,4,17086
2021-07-02,2283,873336,4,17090
2021-07-03,2422,875758,7,17097
2021-07-04,2717,878475,5,17102
2021-07-05,1742,880217,0,17102
2021-07-06,1355,881572,5,17107
2021-07-07,2565,884137,2,17109
2021-07-08,3248,887385,6,17115
2021-07-09,3385,890770,12,17127
2021-07-10,3279,894049,6,17133
2021-07-11,3372,897421,7,17140
2021-07-12,2051,899472,9,17149
2021-07-13,1651,901123,7,17156
2021-07-14,3275,904398,9,17165
2021-07-15,4587,908985,8,17173
2021-07-16,4061,913046,6,17179
2021-07-17,4097,917143,6,17185
2021-07-18,4278,921421,6,17191
2021-07-19,3089,924510,8,17199
2021-07-20,2429,926939,9,17208
2021-07-21,3276,930215,5,17213
2021-07-22,4238,934453,13,17226
2021-07-23,3772,938225,16,17242
2021-07-24,4171,942396,16,17258
2021-07-25,3630,946026,17,17275
2021-07-26,2357,948383,8,17283
2021-07-27,1710,950093,11,17294
2021-07-28,2916,953009,5,17299
2021-07-29,3659,956668,14,17313
2021-07-30,3172,959840,9,17322
2021-07-31,2868,962708,14,17336
2021-08-01,2705,965413,17,17353
2021-08-02,2105,967518,9,17362
2021-08-03,1327,968845,11,17373
2021-08-04,2544,971389,17,17390
2021-08-05,3134,974523,14,17404
2021-08-06,2767,977290,10,17414
2021-08-07,2276,979566,18,17432
2021-08-08,2534,982100,14,17446
2021-08-09,1872,983972,13,17459
2021-08-10,952,984924,17,17476
2021-08-11,2610,987534,19,17495
2021-08-12,3132,990666,11,17506
2021-08-13,2807,993473,11,17517
2021-08-14,2676,996149,13,17530
2021-08-15,2610,998759,9,17539
2021-08-16,1722,1000481,13,17552
2021-08-17,998,1001479,14,17566
2021-08-18,2499,1003978,10,17576
2021-08-19,2933,1006911,17,17593
2021-08-20,2717,1009628,10,17603
2021-08-21,2543,1012171,10,17613
2021-08-22,2824,1014995,6,17619
2021-08-23,1838,1016833,9,17628
2021-08-24,973,1017806,8,17636
2021-08-25,2743,1020549,12,17648
2021-08-26,3124,1023673,15,17663
2021-08-27,2686,1026359,16,17679
2021-08-28,2554,1028913,12,17691
2021-08-29,2450,1031363,8,17699
2021-08-30,1614,1032977,9,17708
2021-08-31,1004,1033981,11,17719
2021-09-01,2335,1036316,12,17731
2021-09-02,2520,1038836,13,17744
2021-09-03,2164,1041000,9,17753
2021-09-04,2025,1043025,9,17762
2021-09-05,1906,1044931,12,17774
2021-09-06,1007,1045938,13,17787
2021-09-07,604,1046542,12,17799
2021-09-08,1663,1048205,7,17806
2021-09-09,1812,1050017,10,17816
2021-09-10,1523,1051540,9,17825
2021-09-11,1561,1053101,7,17832
2021-09-12,1239,1054340,10,17842
2021-09-13,791,1055131,8,17850
2021-09-14,433,1055564,5,17855
2021-09-15,1287,1056851,6,17861
2021-09-16,1297,1058148,9,17870
2021-09-17,1103,1059251,7,17877
2021-09-18,1210,1060461,7,17884
2021-09-19,1077,1061538,6,17890
2021-09-20,593,1062131,6,17896
2021-09-21,325,1062456,7,17903
2021-09-22,1233,1063689,10,17913
2021-09-23,1120,1064809,9,17922
2021-09-24,1083,1065892,4,17926
2021-09-25,999,1066891,9,17935
2021-09-26,947,1067838,5,17940
2021-09-27,522,1068360,2,17942
2021-09-28,294,1068654,1,17943
2021-09-29,850,1069504,8,17951
2021-09-30,871,1070375,5,17956
2021-10-01,876,1071251,7,17963
2021-10-02,777,1072028,4,17967
2021-10-03,722,1072750,7,17974
2021-10-04,354,1073104,7,17981
2021-10-05,304,1073408,7,17988
2021-10-06,838,1074246,4,17992
2021-10-07,434,1074680,4,17996
2021-10-08,834,1075514,12,18008
2021-10-09,885,1076399,7,18015
2021-10-10,810,1077209,7,18022
2021-10-11,444,1077653,7,18029
2021-10-12,297,1077950,8,18037
2021-10-13,801,1078751,9,18046
2021-10-14,947,1079698,7,18053
2021-10-15,935,1080633,6,18059
2021-10-16,814,1081447,7,18066
2021-10-17,775,1082222,10,18076
